gid,gstart,gend,old_zdb
gene-a2m2f,23684818,23703546,ZDB-GENE-131118-9
gene-aak1a,58733232,58827769,ZDB-GENE-081105-101
gene-aak1b,46306682,46404050,ZDB-GENE-091118-25
gene-abcb10,27449175,27463290,ZDB-GENE-040525-2
gene-abcc13,27960921,27984868,ZDB-GENE-050517-26
gene-abcc6b.2,35670848,35690071,ZDB-GENE-110208-2
gene-abtb1,8632647,8659699,ZDB-GENE-141212-241
gene-acbd5b,10268975,10293395,ZDB-GENE-070705-18
gene-acot21,31683098,31696229,ZDB-GENE-041001-181
gene-acsbg1,27219460,27245249,ZDB-GENE-110914-219
gene-acvr1bb,2776412,2802413,ZDB-GENE-131120-9
gene-acvr2bb,55200842,55245108,ZDB-GENE-170621-5
gene-adamts9,21250306,21312165,ZDB-GENE-070814-6
gene-adcy3b,50006129,50051742,ZDB-GENE-041014-276
gene-adcy6b,29713910,29807805,ZDB-GENE-090127-2
gene-adcy9,27342754,27416759,ZDB-GENE-050208-455
gene-adgra2,44918228,45050946,ZDB-GENE-081104-363
gene-adgrd2,62667731,62786704,ZDB-GENE-081104-190
gene-adgrg2a,29247114,29311584,ZDB-GENE-140106-206
gene-adgrl1a,48576629,48954428,ZDB-GENE-131127-267
gene-adra1ab,23877307,23895482,ZDB-GENE-060503-384
gene-ago3a,55602611,55674235,ZDB-GENE-051107-16
gene-aifm5,42586736,42611508,ZDB-GENE-091118-96
gene-aig1,40770190,41022934,ZDB-GENE-041014-358
gene-aipl1,27356204,27367404,ZDB-GENE-131121-577
gene-ajap1,23463006,23549887,ZDB-GENE-041210-353
gene-aldh3b4,20203824,20216347,ZDB-GENE-060531-79
gene-alkal2a,38659690,38671196,ZDB-GENE-100922-116
gene-alx1,17627447,17635387,ZDB-GENE-050419-191
gene-ampd2a,1318505,1363740,ZDB-GENE-091204-4
gene-anapc1,50700004,50869428,ZDB-GENE-081107-12
gene-and3,27745630,27751832,ZDB-GENE-040724-185
gene-ankrd2,44250776,44263645,ZDB-GENE-090313-383
gene-ankrd33ba,25920342,25942929,ZDB-GENE-040724-39
gene-ankrd37,19238679,19242026,ZDB-GENE-070308-1
gene-ano11,27108666,27137380,ZDB-GENE-090313-245
gene-aox6,13751640,13783524,ZDB-GENE-050208-742
gene-apbb3,43996471,44050059,ZDB-GENE-140106-53
gene-apold1a,40998760,41022799,ZDB-GENE-040724-111
gene-areg,7416790,7480406,ZDB-GENE-141216-239
gene-arfgef2,21888244,21955131,ZDB-GENE-090312-50
gene-arfgef3,2353421,2412708,ZDB-GENE-081107-37
gene-arhgap39,55630056,55927143,ZDB-GENE-041014-247
gene-arhgap45a,60008975,60080565,ZDB-GENE-140106-47
gene-arhgap4b,21517244,21590493,ZDB-GENE-090311-38
gene-arhgef15a,59434311,59479839,ZDB-GENE-060526-292
gene-arhgef19,27078586,27108038,ZDB-GENE-090313-243
gene-arid4b,53387531,53525307,ZDB-GENE-160607-1
gene-arid5b,8686331,8941346,ZDB-GENE-121214-272
gene-armc10,20136713,20146325,ZDB-GENE-131121-630
gene-asap1b,11259017,11409144,ZDB-GENE-091112-16
gene-asb15b,4478196,4511245,ZDB-GENE-041210-265
gene-asb18,25505386,25514045,ZDB-GENE-090313-391
gene-asb2a.2,30036873,30052401,ZDB-GENE-130603-17
gene-asgr1c.2,4793651,4807710,ZDB-GENE-060526-152
gene-asgrl1,48162052,48174322,ZDB-GENE-081105-120
gene-atg2a,9370177,9446870,ZDB-GENE-091204-142
gene-atmin,31397876,31405384,ZDB-GENE-030616-220
gene-atp8b3,20330028,20364004,ZDB-GENE-050208-424
gene-atp8b5a,19970941,20027344,ZDB-GENE-060531-48
gene-atr,18752629,18817872,ZDB-GENE-070912-458
gene-atrn,14409652,14585821,ZDB-GENE-090312-21
gene-atrnl1a,23001235,23474860,ZDB-GENE-081028-60
gene-avpr2b.1,45764566,45767778,ZDB-GENE-121023-1
gene-b3gnt3.2,15330477,15354153,ZDB-GENE-081104-528
gene-b3gnt9,18896430,18901307,ZDB-GENE-060503-611
gene-baiap2l2b,30995735,31031336,ZDB-GENE-060503-339
gene-bcdin3d,5990154,6000343,ZDB-GENE-050208-327
gene-best1,3644007,3667236,ZDB-GENE-110411-214
gene-bicdl1,5101025,5182790,ZDB-GENE-091204-439
gene-blk,21632340,21654547,ZDB-GENE-040724-106
gene-brd8a,32847090,32881551,ZDB-GENE-091113-54
gene-brms1lb,18061872,18078811,ZDB-GENE-081031-54
gene-brwd3,23669229,23804015,ZDB-GENE-100921-43
gene-btbd17a,37968050,38026658,ZDB-GENE-130531-68
gene-btr23,4410260,4424312,ZDB-GENE-070705-375
gene-c1ql3a,36094809,36103196,ZDB-GENE-080417-1
