gid,gstart,gend,new_zdb
gene-adgrb2,41336100,41886529,ZDB-GENE-060503-573
gene-adgrf6,38830260,38974062,ZDB-GENE-041001-212
gene-akap7,2506122,2568582,ZDB-GENE-040724-128
gene-aknad1,48738649,48766460,ZDB-GENE-070912-649
gene-alpk3a,28158224,28191513,ZDB-GENE-050419-48
gene-ankrd63,3290227,3295555,ZDB-GENE-030131-7327
gene-antxr1a,59837952,59941623,ZDB-GENE-110411-15
gene-ar,36140684,36307640,ZDB-GENE-060131-1
gene-arap1,51006057,51142915,ZDB-GENE-130723-3
gene-arhgap20b,22943561,23036666,ZDB-GENE-060526-383
gene-asgr1c.1,4770681,4791445,ZDB-GENE-060526-151
gene-atxn7l1,3775146,3798646,ZDB-GENE-131127-383
gene-avpr2aa,27979650,28010208,ZDB-GENE-090313-344
gene-b3galt4,63102979,63119045,ZDB-GENE-081104-482
gene-bdkrb2,3886307,3894646,ZDB-GENE-060515-1
gene-best2,55479182,55501087,ZDB-GENE-090312-127
gene-best4,29840501,29850697,ZDB-GENE-070912-6
gene-bglapl,276565,294286,ZDB-GENE-060608-3
gene-bif1.2,2893405,2900996,ZDB-GENE-081031-93
gene-brd10,959348,985737,ZDB-GENE-121005-3
gene-btla,38475485,38481482,ZDB-GENE-141222-17
gene-c16h2orf66,21510103,21512752,ZDB-GENE-260323-2
gene-ca12,29139548,29156275,ZDB-GENE-080815-4
gene-cacna1fa,54495022,54562208,ZDB-GENE-091204-7
gene-cacna1hb,9653356,9838298,ZDB-GENE-090312-128
gene-cacna2d4a,20832797,20890271,ZDB-GENE-041210-213
gene-calcrl2,49664722,49700415,ZDB-GENE-120228-3
gene-calhm1b,52814687,52820942,ZDB-GENE-090312-195
gene-calr3b,59119443,59132802,ZDB-GENE-030131-9907
gene-camk2n1b,40420414,40424507,ZDB-GENE-090313-289
gene-camsap2b,48494082,48578401,ZDB-GENE-070912-80
gene-camta2,48487620,48551933,ZDB-GENE-090313-6
gene-ccdc134,820976,834894,ZDB-GENE-091204-218
gene-ccdc73,16181765,16212910,ZDB-GENE-080812-3
gene-ccm2l,9167234,9213744,ZDB-GENE-090313-248
gene-cd101,493691,509577,ZDB-GENE-140106-185
gene-cdh22,59330222,59829371,ZDB-GENE-140106-113
gene-cel.2,12754314,12763283,ZDB-GENE-061110-10
gene-cela1.1,7866095,7873435,ZDB-GENE-050522-187
gene-chchd5,55431385,55435026,ZDB-GENE-260804-1
gene-cib3,58534384,58564328,ZDB-GENE-030131-3248
gene-cirsr,2586422,2602458,ZDB-GENE-100922-268
gene-clnk,223677,237135,ZDB-GENE-150902-1
gene-col18a1b,19122016,19189091,ZDB-GENE-110411-288
gene-col23a1a,7164607,7230400,ZDB-GENE-070705-543
gene-col24a1,50114808,50258753,ZDB-GENE-110411-128
gene-cox14,6000414,6004541,ZDB-GENE-060503-626
gene-cpne9,38355036,38466733,ZDB-GENE-090311-49
gene-ctslb,18212255,18214878,ZDB-GENE-980526-285
