gid,gstart,gend,old_zdb,new_zdb
gene-colec10,10072966,10089125,ZDB-GENE-141216-492,ZDB-GENE-131127-525
gene-fbxo44.9,19828255,19856084,ZDB-GENE-061009-29,ZDB-GENE-061009-32
gene-hspa12a.3,76075691,76081460,ZDB-GENE-030131-8896,ZDB-GENE-061009-21
gene-iscua,21172129,21174326,ZDB-GENE-040724-113,ZDB-GENE-040724-36
gene-kank1a,45728267,45826533,ZDB-GENE-030131-4353,ZDB-GENE-060526-215
gene-LOC137488446,36723838,36755415,ZDB-GENE-060503-800,ZDB-GENE-251023-1
gene-LOC137490405,12280170,12288888,ZDB-GENE-141216-82,ZDB-GENE-141216-85
gene-LOC141376230,54758210,54815266,ZDB-GENE-041210-304,ZDB-GENE-250916-1
gene-malt1,72226017,72256071,ZDB-GENE-070705-156,ZDB-GENE-030131-4339
gene-pcdh2ab10,2633786,2703160,ZDB-GENE-041118-9,ZDB-GENE-041118-7
gene-pcdh2ab12,2633786,2700373,ZDB-GENE-041118-11,ZDB-GENE-041118-9
gene-pcdh2ab5,2633786,2716108,ZDB-GENE-041118-4,ZDB-GENE-041118-3
gene-pcdh2ab7,2633786,2709488,ZDB-GENE-041118-6,ZDB-GENE-041118-4
gene-pcdh2ab9,2633786,2706240,ZDB-GENE-041118-8,ZDB-GENE-041118-6
gene-pcdhb,2874456,2877428,ZDB-GENE-020731-3,ZDB-GENE-050610-36
gene-pet117,25916400,25921045,ZDB-GENE-040718-452,ZDB-GENE-260325-1
gene-pimr62,41776093,41782604,ZDB-GENE-131120-108,ZDB-GENE-131125-26
gene-pxnb,4846787,4919547,ZDB-GENE-130530-697,ZDB-GENE-030131-5136
gene-qdprb.3,26013342,26016826,ZDB-GENE-070720-19,ZDB-GENE-090312-8
gene-raph1a,13960444,14109149,ZDB-GENE-030131-8202,ZDB-GENE-070912-156
gene-rerg,297624,320844,ZDB-GENE-161017-134,ZDB-GENE-131018-1
gene-rny2,41836275,41836337,ZDB-GENE-090929-315,ZDB-NCRNAG-090929-1
gene-si:ch1073-104i17.1,5135373,5152049,ZDB-GENE-030131-10008,ZDB-GENE-091204-443
gene-si:ch1073-205c8.3,51594038,51599025,ZDB-GENE-141219-17,ZDB-GENE-030131-1059
gene-si:ch1073-75f15.2,1760032,1778803,ZDB-GENE-081031-89,ZDB-GENE-070912-113
gene-si:ch211-114l13.12,61256220,61267442,ZDB-GENE-120215-211,ZDB-GENE-260310-43
gene-si:ch211-148l7.4,36906766,36914952,ZDB-GENE-030131-3985,ZDB-GENE-090313-38
gene-si:ch211-153f2.3,48869988,48876337,ZDB-GENE-081104-135,ZDB-GENE-251212-1
gene-si:ch211-79l17.1,2648918,2717760,ZDB-GENE-050419-127,ZDB-GENE-091204-461
gene-si:ch73-142c19.1,4389604,4409760,ZDB-GENE-080305-14,ZDB-GENE-090311-15
gene-si:ch73-242m19.1,7960201,8070737,ZDB-GENE-131121-474,ZDB-GENE-131121-612
gene-si:ch73-27e22.2,8548980,8579939,ZDB-GENE-050809-69,ZDB-GENE-070705-230
gene-si:ch73-286h23.3,9188198,9380311,ZDB-GENE-070705-236,ZDB-GENE-130530-2
gene-si:ch73-364h19.1,64964446,64998267,ZDB-GENE-131122-85,ZDB-GENE-031010-45
gene-si:ch73-51i5.2,7861175,8139844,ZDB-GENE-121214-333,ZDB-GENE-060621-3
gene-si:dkeyp-2e4.3,48436107,48443588,ZDB-GENE-061009-48,ZDB-GENE-061009-51
gene-si:dkeyp-68b7.12,61909694,61954788,ZDB-GENE-141212-333,ZDB-GENE-070912-117
gene-si:zfos-588f8.1,5565476,5666309,ZDB-GENE-110411-111,ZDB-GENE-080424-8
gene-zgc:101540,34692827,34722907,ZDB-GENE-041212-67,ZDB-GENE-081104-49
gene-zgc:101772,23507751,23511685,ZDB-GENE-040912-51,ZDB-GENE-050417-175
gene-zgc:165653,50984330,51026979,ZDB-GENE-070620-24,ZDB-GENE-141114-2
gene-zgc:173720,49077946,49087215,ZDB-GENE-110913-43,ZDB-GENE-080218-21
gene-znf1078,51712048,51719438,ZDB-GENE-110913-64,ZDB-GENE-080218-11
